trial_number,state,value,threshold,alt_layer,rep1,beta,batch_size
146,FAIL,,6.976817142676758e-05,5.0,28.0,0.5432579853289534,256.0
147,FAIL,,7.150876975250006e-05,5.0,28.0,0.5537107363310556,256.0
148,FAIL,,7.144713214840846e-05,5.0,28.0,0.5547308943167086,256.0
149,FAIL,,7.116841234837163e-05,5.0,28.0,0.5502898551981907,256.0
150,FAIL,,7.133305711128871e-05,6.0,28.0,0.5405416441155693,256.0
151,FAIL,,7.000444920396567e-05,5.0,28.0,0.5540599546559577,256.0
152,FAIL,,7.169724951847319e-05,5.0,28.0,0.5453746348371756,256.0
153,FAIL,,7.134003044715945e-05,5.0,28.0,0.5491578724939834,256.0
154,FAIL,,7.163070539827095e-05,5.0,28.0,0.556116614936093,256.0
155,FAIL,,6.88227569897399e-05,5.0,28.0,0.5546862837216705,256.0
156,FAIL,,7.712513281010266e-05,5.0,28.0,0.5514006805118825,256.0
157,FAIL,,6.9644678355715e-05,6.0,28.0,0.5523596386864464,256.0
158,FAIL,,7.160164284782195e-05,6.0,28.0,0.5528442605864715,256.0
159,FAIL,,7.188245239990575e-05,5.0,28.0,0.5503252182881114,256.0
160,FAIL,,7.08228779767452e-05,6.0,28.0,0.5580226790065594,256.0
161,FAIL,,7.041035290909169e-05,5.0,28.0,0.5507870491916772,256.0
162,FAIL,,7.052226372428468e-05,5.0,28.0,0.5535647147261284,256.0
163,FAIL,,7.174296736318903e-05,5.0,28.0,0.5572056253479681,256.0
164,FAIL,,7.175035891409196e-05,5.0,28.0,0.5680799220066319,256.0
165,FAIL,,7.156907607643358e-05,5.0,28.0,0.5614545058868048,256.0
166,FAIL,,7.163718062334346e-05,5.0,28.0,0.5505538939714897,256.0
167,FAIL,,7.333226158184048e-05,5.0,28.0,0.549328979648265,256.0
168,FAIL,,7.177666941773657e-05,5.0,28.0,0.5537474926986866,256.0
169,FAIL,,7.346627798373135e-05,5.0,28.0,0.5510480023664135,256.0
170,FAIL,,7.03372806183041e-05,5.0,28.0,0.5569628431414628,256.0
171,FAIL,,6.657328589950806e-05,5.0,28.0,0.5480698854198216,256.0
172,FAIL,,6.848500681853618e-05,6.0,28.0,0.5498092250094928,256.0
173,FAIL,,6.654799534538706e-05,6.0,28.0,0.5088796196000079,256.0
174,FAIL,,7.131822556675871e-05,5.0,28.0,0.544607816219331,256.0
175,FAIL,,7.215173041442048e-05,5.0,29.0,0.5646514442629261,256.0
176,FAIL,,6.779834315258682e-05,5.0,28.0,0.5496397212495868,256.0
177,FAIL,,7.037196528985718e-05,5.0,28.0,0.5609567920336808,256.0
178,FAIL,,7.096157976018241e-05,5.0,28.0,0.5376869194061312,256.0
179,FAIL,,7.076290266327672e-05,5.0,28.0,0.551124921581247,256.0
